Value,Time,E
557.0537,1.0,0.0001
508.5457,1.1,0.0001
468.331,1.2,0.0001
434.5009,1.3,0.0001
405.6923,1.4,0.0001
380.906,1.5,0.0001
359.3926,1.6,0.0001
340.5792,1.7,0.0001
324.0205,1.8,0.0001
309.3649,1.9,0.0001
296.3311,2.0,0.0001
284.6917,2.1,0.0001
274.2606,2.2,0.0001
264.8838,2.3,0.0001
256.4335,2.4,0.0001
248.8019,2.5,0.0001
241.898,2.6,0.0001
235.6443,2.7,0.0001
229.9743,2.8,0.0001
224.8305,2.9,0.0001
220.1634,3.0,0.0001
215.9296,3.1,0.0001
212.0911,3.2,0.0001
208.6146,3.3,0.0001
205.4706,3.4,0.0001
202.6329,3.5,0.0001
200.0785,3.6,0.0001
197.7863,3.7,0.0001
195.7379,3.8,0.0001
193.9164,3.9,0.0001
192.3068,4.0,0.0001
190.8953,4.1,0.0001
189.6695,4.2,0.0001
188.6181,4.3,0.0001
187.7307,4.4,0.0001
186.9978,4.5,0.0001
186.4107,4.6,0.0001
185.9613,4.7,0.0001
185.6423,4.8,0.0001
185.4466,4.9,0.0001
185.3679,5.0,0.0001
185.4002,5.1,0.0001
185.5378,5.2,0.0001
185.7755,5.3,0.0001
186.1083,5.4,0.0001
186.5316,5.5,0.0001
187.041,5.6,0.0001
187.6323,5.7,0.0001
188.3015,5.8,0.0001
189.0449,5.9,0.0001
189.8589,6.0,0.0001
190.7402,6.1,0.0001
191.6855,6.2,0.0001
192.6918,6.3,0.0001
193.7561,6.4,0.0001
194.8756,6.5,0.0001
196.0478,6.6,0.0001
197.2702,6.7,0.0001
198.5403,6.8,0.0001
199.8558,6.9,0.0001
201.2148,7.0,0.0001
202.6151,7.1,0.0001
204.0548,7.2,0.0001
205.5321,7.3,0.0001
207.0454,7.4,0.0001
208.593,7.5,0.0001
210.1735,7.6,0.0001
211.7853,7.7,0.0001
213.4273,7.8,0.0001
215.0981,7.9,0.0001
216.7965,8.0,0.0001
218.5216,8.1,0.0001
220.2722,8.2,0.0001
222.0475,8.3,0.0001
223.8465,8.4,0.0001
225.6684,8.5,0.0001
227.5125,8.6,0.0001
229.378,8.7,0.0001
231.2642,8.8,0.0001
233.1706,8.9,0.0001
235.0966,9.0,0.0001
237.0415,9.1,0.0001
239.005,9.2,0.0001
240.9865,9.3,0.0001
242.9856,9.4,0.0001
245.002,9.5,0.0001
247.0352,9.6,0.0001
249.0848,9.7,0.0001
251.1506,9.8,0.0001
253.2322,9.9,0.0001
255.3294,10.0,0.0001
257.4419,10.1,0.0001
259.5694,10.2,0.0001
261.7117,10.3,0.0001
263.8686,10.4,0.0001
266.0399,10.5,0.0001
268.2253,10.6,0.0001
270.4248,10.7,0.0001
272.638,10.8,0.0001
274.8649,10.9,0.0001
277.1053,11.0,0.0001
279.3591,11.1,0.0001
281.626,11.2,0.0001
283.9061,11.3,0.0001
286.1991,11.4,0.0001
