split,window_id,E,log10E,branch_local_id,center_pred_s,center_true_s,window_half_width,baseline_mae,baseline_rmse
train,107,0.0004,-3.39794,0,0.01,0.02,0.16,0.022474557,0.02367739
train,108,0.0005,-3.30103,0,0.01,0.02,0.16,0.021907538,0.02303363
train,109,0.0006,-3.2218487,0,0.01,0.02,0.16,0.021976778,0.023057226
train,110,0.0008,-3.09691,0,0.01,0.02,0.16,0.022532538,0.027060559
train,111,0.0008,-3.09691,1,0.0,0.11,0.16,0.06085353,0.064122684
train,112,0.001,-3.0,0,0.01,0.02,0.16,0.017638275,0.019835152
train,113,0.001,-3.0,1,0.0,0.04,0.16,0.1261682,0.1434555
train,114,0.0011,-2.9586072,0,0.01,0.02,0.16,0.016522883,0.018731957
train,115,0.0011,-2.9586072,1,0.03,0.03,0.16,0.024602622,0.026555533
train,116,0.0016,-2.79588,0,0.02,0.02,0.16,0.015114168,0.015763277
train,117,0.0016,-2.79588,1,0.63,0.63,0.16,0.057995245,0.061163776
train,118,0.0017,-2.769551,0,0.02,0.02,0.16,0.0072361985,0.00852759
train,119,0.0017,-2.769551,1,0.63,0.63,0.16,0.022336664,0.02673755
train,120,0.0018,-2.7447276,0,0.02,0.02,0.16,0.0069195055,0.0081348345
train,121,0.0018,-2.7447276,1,0.63,0.62,0.16,0.03340375,0.036614534
train,122,0.0019,-2.7212465,0,0.02,0.02,0.16,0.0065917796,0.0078052166
train,123,0.0019,-2.7212465,1,0.63,0.63,0.16,0.027706593,0.02964699
train,124,0.0021,-2.6777806,0,0.02,0.02,0.16,0.0060347402,0.006998225
train,125,0.0021,-2.6777806,1,0.02,0.01,0.16,0.010529112,0.012008132
train,126,0.0022,-2.6575773,0,0.02,0.02,0.16,0.010136307,0.012547882
train,127,0.0022,-2.6575773,1,0.01,0.01,0.16,0.008986334,0.023698142
train,128,0.0024,-2.6197886,0,0.02,0.02,0.16,0.005339877,0.0065762964
train,129,0.0024,-2.6197886,1,0.02,0.01,0.16,0.0066042724,0.0068162032
train,130,0.0025,-2.60206,0,0.03,0.02,0.16,0.011493619,0.012835679
train,131,0.0025,-2.60206,1,0.02,0.02,0.16,0.022055468,0.026741736
train,132,0.0026,-2.5850267,0,0.03,0.02,0.16,0.010073271,0.0109614665
train,133,0.0026,-2.5850267,1,0.01,0.02,0.16,0.013002901,0.015745172
train,134,0.0027,-2.5686362,0,0.02,0.02,0.16,0.0072333855,0.007815438
train,135,0.0027,-2.5686362,1,0.01,0.01,0.16,0.015296261,0.017795226
train,136,0.0028,-2.552842,0,0.02,0.02,0.16,0.006755855,0.007540897
train,137,0.0028,-2.552842,1,0.01,0.01,0.16,0.017658772,0.021057947
train,138,0.0029,-2.537602,0,0.03,0.02,0.16,0.00903191,0.009655275
train,139,0.0029,-2.537602,1,0.01,0.01,0.16,0.023383444,0.028379865
train,140,0.003,-2.5228786,0,0.03,0.02,0.16,0.009786356,0.010495375
train,141,0.003,-2.5228786,1,0.01,0.02,0.16,0.028835267,0.03560886
train,142,0.0031,-2.5086384,0,0.02,0.02,0.16,0.006646997,0.0075987102
train,143,0.0031,-2.5086384,1,0.01,0.01,0.16,0.019363038,0.023933895
train,144,0.0032,-2.49485,0,0.03,0.02,0.16,0.0073716994,0.0083180135
train,145,0.0032,-2.49485,1,0.01,0.01,0.16,0.022104487,0.027913649
train,146,0.0033,-2.481486,0,0.02,0.02,0.16,0.013959083,0.016544143
train,147,0.0035,-2.455932,0,0.02,0.02,0.16,0.013766834,0.016215624
train,148,0.0038,-2.4202163,0,0.01,0.02,0.16,0.013975127,0.016220246
train,149,0.0039,-2.4089353,0,0.01,0.02,0.16,0.013837976,0.015921472
train,150,0.004,-2.39794,0,0.03,0.02,0.16,0.009325316,0.010078186
train,151,0.004,-2.39794,1,0.01,0.01,0.16,0.010827211,0.013111832
train,152,0.0041,-2.387216,0,0.02,0.02,0.16,0.01302599,0.014741338
train,153,0.0042,-2.3767507,0,0.01,0.02,0.16,0.014531192,0.016448164
train,154,0.0043,-2.3665316,0,0.01,0.02,0.16,0.014280821,0.015878212
train,155,0.0045,-2.3467875,0,0.03,0.02,0.16,0.012491948,0.013688894
train,156,0.0045,-2.3467875,1,0.01,0.01,0.16,0.022624882,0.028379913
train,157,0.0046,-2.3372421,0,0.02,0.02,0.16,0.012727117,0.01515544
train,158,0.0046,-2.3372421,1,0.01,0.02,0.16,0.04519543,0.059621394
train,159,0.0047,-2.327902,0,0.01,0.02,0.16,0.014727366,0.015719604
train,160,0.0048,-2.3187587,0,0.03,0.02,0.16,0.013454628,0.015125026
train,161,0.0048,-2.3187587,1,0.01,0.01,0.16,0.009655352,0.011217904
train,162,0.0049,-2.309804,0,0.01,0.02,0.16,0.014978426,0.015765848
train,163,0.005,-2.30103,0,0.03,0.02,0.16,0.0141215455,0.016009087
train,164,0.005,-2.30103,1,0.01,0.01,0.16,0.010432887,0.012228832
train,165,0.0051,-2.29243,0,0.01,0.02,0.16,0.015510403,0.016176362
train,166,0.0053,-2.2757242,0,0.02,0.02,0.16,0.011495379,0.013583237
train,167,0.0053,-2.2757242,1,0.02,0.02,0.16,0.033796705,0.044545557
train,168,0.0054,-2.2676063,0,0.03,0.02,0.16,0.014851293,0.016916286
train,169,0.0054,-2.2676063,1,0.01,0.01,0.16,0.013462995,0.016968278
train,170,0.0056,-2.251812,0,0.02,0.02,0.16,0.015531414,0.018230641
train,171,0.0056,-2.251812,1,0.01,0.01,0.16,0.025617575,0.032784205
train,172,0.0057,-2.2441251,0,0.02,0.03,0.16,0.009354777,0.010930652
train,173,0.0057,-2.2441251,1,0.0,0.0,0.16,0.02394848,0.02953157
train,174,0.0058,-2.236572,0,0.02,0.03,0.16,0.0096216425,0.011240741
train,175,0.0058,-2.236572,1,0.03,0.02,0.16,0.02280443,0.02963706
train,176,0.006,-2.2218487,0,0.02,0.03,0.16,0.012160702,0.014668122
train,177,0.006,-2.2218487,1,0.01,0.01,0.16,0.021334067,0.026338005
train,178,0.0062,-2.2076082,0,0.02,0.03,0.16,0.010488946,0.01222432
train,179,0.0062,-2.2076082,1,0.01,0.01,0.16,0.016644886,0.020177292
train,180,0.0063,-2.2006595,0,0.02,0.03,0.16,0.010225844,0.011862123
train,181,0.0063,-2.2006595,1,0.0,0.0,0.16,0.023132466,0.027741898
train,182,0.0065,-2.1870866,0,0.02,0.03,0.16,0.013231344,0.015939455
train,183,0.0065,-2.1870866,1,0.01,0.01,0.16,0.013661403,0.016094698
train,184,0.0067,-2.1739252,0,0.02,0.03,0.16,0.0086407075,0.009747476
train,185,0.0067,-2.1739252,1,0.01,0.01,0.16,0.014083938,0.016044673
train,186,0.0068,-2.1674912,0,0.02,0.03,0.16,0.008458725,0.009472522
train,187,0.0068,-2.1674912,1,0.0,0.0,0.16,0.026111772,0.029808883
train,188,0.0069,-2.161151,0,0.01,0.02,0.16,0.017650375,0.019094924
train,189,0.007,-2.154902,0,0.01,0.02,0.16,0.017117538,0.01856184
train,190,0.0074,-2.1307683,0,0.01,0.02,0.16,0.01635871,0.017157162
train,191,0.0076,-2.1191864,0,0.01,0.02,0.16,0.016406031,0.016978944
train,192,0.0077,-2.1135092,0,0.01,0.02,0.16,0.016555259,0.017074887
train,193,0.008,-2.09691,0,0.02,0.02,0.16,0.01358052,0.01588357
train,194,0.008,-2.09691,1,0.01,0.41,0.16,0.10162808,0.103710145
train,195,0.0086,-2.0655015,0,0.02,0.02,0.16,0.009063957,0.0100504495
train,196,0.0086,-2.0655015,1,0.04,0.04,0.16,0.009946484,0.01312761
train,197,0.0086,-2.0655015,2,0.03,0.03,0.16,0.04932701,0.051655177
train,198,0.0087,-2.0604808,0,0.02,0.02,0.16,0.009458357,0.010553027
train,199,0.0087,-2.0604808,1,0.04,0.04,0.16,0.009448531,0.012592709
train,200,0.0087,-2.0604808,2,0.04,0.03,0.16,0.057291903,0.062184904
train,201,0.0092,-2.0362122,0,0.02,0.02,0.16,0.0037572158,0.0039353156
train,202,0.0092,-2.0362122,1,0.03,0.1,0.16,0.023829723,0.02611067
train,203,0.0092,-2.0362122,2,0.01,0.01,0.16,0.023619281,0.025037644
train,204,0.0092,-2.0362122,3,0.08,0.04,0.16,0.079831295,0.106966585
train,205,0.0092,-2.0362122,4,0.03,0.2,0.16,0.06711362,0.07167139
train,206,0.0095,-2.0222764,0,0.02,0.02,0.16,0.008556273,0.009828324
train,207,0.0095,-2.0222764,1,0.03,0.07,0.16,0.041478842,0.052840468
train,208,0.0095,-2.0222764,2,0.01,0.01,0.16,0.013677387,0.015129541
train,209,0.01,-2.0,0,0.02,0.02,0.16,0.0073159006,0.008494296
train,210,0.01,-2.0,1,0.0,0.06,0.16,0.022116192,0.023330607
train,211,0.01,-2.0,2,0.01,0.01,0.16,0.011748977,0.012399004
train,212,0.0108,-1.9665762,0,0.02,0.02,0.16,0.006197653,0.0074028433
train,213,0.0108,-1.9665762,1,0.03,0.05,0.16,0.033119313,0.035466712
train,214,0.0108,-1.9665762,2,0.01,0.01,0.16,0.012644185,0.013093419
train,215,0.0109,-1.9625735,0,0.02,0.02,0.16,0.005917591,0.0069730254
train,216,0.0109,-1.9625735,1,0.03,0.05,0.16,0.025779717,0.029718857
train,217,0.0109,-1.9625735,2,0.01,0.01,0.16,0.012065509,0.012475913
train,218,0.0112,-1.950782,0,0.02,0.03,0.16,0.006888842,0.0075441143
train,219,0.0112,-1.950782,1,0.01,0.01,0.16,0.015896682,0.016298305
train,220,0.0113,-1.9469216,0,0.02,0.03,0.16,0.0072142663,0.007927658
train,221,0.0113,-1.9469216,1,0.01,0.01,0.16,0.014860038,0.015230302
train,222,0.0115,-1.9393022,0,0.02,0.03,0.16,0.0075468444,0.008338117
train,223,0.0115,-1.9393022,1,0.01,0.01,0.16,0.013585528,0.014061363
train,224,0.0118,-1.928118,0,0.02,0.02,0.16,0.007589408,0.008468412
train,225,0.0118,-1.928118,1,0.01,0.01,0.16,0.016268134,0.0167229
train,226,0.0121,-1.9172146,0,0.02,0.02,0.16,0.007723367,0.008828104
train,227,0.0121,-1.9172146,1,0.01,0.01,0.16,0.018443031,0.020105846
train,228,0.013,-1.8860567,0,0.01,0.02,0.16,0.017196942,0.019006804
train,229,0.0133,-1.8761483,0,0.01,0.02,0.16,0.018298008,0.020513533
train,230,0.0135,-1.8696662,0,0.01,0.02,0.16,0.018220935,0.020405369
train,231,0.0136,-1.866461,0,0.02,0.02,0.16,0.0062424615,0.0073626726
train,232,0.0136,-1.866461,1,0.03,0.11,0.16,0.017657459,0.019271577
train,233,0.0136,-1.866461,2,0.14,0.14,0.16,0.03371002,0.05512564
train,234,0.0139,-1.8569852,0,0.02,0.02,0.16,0.0067408523,0.007949327
train,235,0.0139,-1.8569852,1,0.02,0.06,0.16,0.04933693,0.056902196
train,236,0.0139,-1.8569852,2,0.11,0.11,0.16,0.01644862,0.022836866
train,237,0.014,-1.853872,0,0.02,0.02,0.16,0.006832152,0.008062937
train,238,0.014,-1.853872,1,0.03,0.06,0.16,0.07056734,0.07323942
train,239,0.014,-1.853872,2,0.06,0.06,0.16,0.03356543,0.035029422
train,240,0.014,-1.853872,3,0.01,0.01,0.16,0.025570264,0.031173265
train,241,0.0142,-1.8477117,0,0.02,0.02,0.16,0.0068677026,0.008086896
train,242,0.0142,-1.8477117,1,0.0,0.94,0.16,0.030862067,0.032435164
train,243,0.0142,-1.8477117,2,0.06,0.07,0.16,0.044552024,0.046830516
train,244,0.0142,-1.8477117,3,0.01,0.01,0.16,0.034563817,0.042268313
train,245,0.0145,-1.838632,0,0.02,0.02,0.16,0.0050427616,0.00597344
train,246,0.0145,-1.838632,1,0.02,0.11,0.16,0.023246262,0.028681302
train,247,0.0145,-1.838632,2,0.06,0.06,0.16,0.039506268,0.039977524
train,248,0.0145,-1.838632,3,0.02,0.02,0.16,0.032341313,0.04540486
train,249,0.0145,-1.838632,4,0.02,0.04,0.16,0.039778277,0.04640256
train,250,0.015,-1.8239087,0,0.02,0.02,0.16,0.007664297,0.009061075
train,251,0.015,-1.8239087,1,0.14,0.1,0.16,0.05445426,0.056405395
train,252,0.015,-1.8239087,2,0.2,0.2,0.16,0.021093488,0.0363327
train,253,0.015,-1.8239087,3,0.02,0.02,0.16,0.04282522,0.053520966
train,254,0.0151,-1.8210231,0,0.02,0.02,0.16,0.0068672416,0.008207878
train,255,0.0151,-1.8210231,1,0.22,0.94,0.16,0.023371594,0.024663433
train,256,0.0151,-1.8210231,2,0.06,0.07,0.16,0.0429879,0.044102564
train,257,0.0151,-1.8210231,3,0.02,0.02,0.16,0.022165418,0.02745297
train,258,0.0151,-1.8210231,4,0.01,0.02,0.16,0.07605845,0.0942302
train,259,0.0153,-1.8153086,0,0.02,0.02,0.16,0.0065839887,0.007845764
train,260,0.0153,-1.8153086,1,0.09,0.94,0.16,0.016455276,0.018766623
train,261,0.0153,-1.8153086,2,0.06,0.07,0.16,0.04967656,0.051111206
train,262,0.0153,-1.8153086,3,0.02,0.02,0.16,0.026849844,0.03626948
train,263,0.0153,-1.8153086,4,0.05,0.02,0.16,0.08291158,0.11312859
train,264,0.0157,-1.8041004,0,0.02,0.02,0.16,0.0061461423,0.007288427
train,265,0.0157,-1.8041004,1,0.08,0.04,0.16,0.027397815,0.032846343
train,266,0.0157,-1.8041004,2,0.07,0.07,0.16,0.060540833,0.06412202
train,267,0.0157,-1.8041004,3,0.02,0.02,0.16,0.018155897,0.022306582
train,268,0.0157,-1.8041004,4,0.02,0.02,0.16,0.09911218,0.114544764
train,269,0.0159,-1.7986028,0,0.02,0.02,0.16,0.0059304857,0.0070262905
train,270,0.0159,-1.7986028,1,0.14,0.04,0.16,0.027336922,0.031103447
train,271,0.0159,-1.7986028,2,0.06,0.08,0.16,0.04494139,0.050287455
train,272,0.0159,-1.7986028,3,0.02,0.02,0.16,0.014527417,0.015217261
train,273,0.0159,-1.7986028,4,0.02,0.02,0.16,0.055121865,0.05744477
train,274,0.0162,-1.790485,0,0.02,0.02,0.16,0.005746989,0.006822482
train,275,0.0162,-1.790485,1,0.08,0.04,0.16,0.026386658,0.03179951
train,276,0.0162,-1.790485,2,0.07,0.08,0.16,0.06708948,0.072866835
train,277,0.0162,-1.790485,3,0.02,0.02,0.16,0.014225417,0.015062241
train,278,0.0162,-1.790485,4,0.03,0.02,0.16,0.0774802,0.0854795
train,279,0.0163,-1.7878124,0,0.02,0.02,0.16,0.0057390095,0.0068152384
train,280,0.0163,-1.7878124,1,0.08,1.0,0.16,0.02015466,0.023108024
train,281,0.0163,-1.7878124,2,0.07,0.08,0.16,0.099589065,0.11101921
train,282,0.0163,-1.7878124,3,0.02,0.02,0.16,0.012858704,0.013830837
train,283,0.0163,-1.7878124,4,0.03,0.05,0.16,0.06817628,0.07530081
train,284,0.0168,-1.7746907,0,0.02,0.02,0.16,0.009583879,0.011321341
train,285,0.0168,-1.7746907,1,0.07,0.03,0.16,0.03379419,0.040312808
train,286,0.0168,-1.7746907,2,0.13,0.12,0.16,0.017099082,0.020093324
train,287,0.0168,-1.7746907,3,0.04,0.03,0.16,0.081259914,0.1033254
train,288,0.0171,-1.7670039,0,0.02,0.02,0.16,0.009553476,0.011306307
train,289,0.0171,-1.7670039,1,0.07,0.03,0.16,0.029885668,0.03564896
train,290,0.0171,-1.7670039,2,0.11,0.11,0.16,0.015146428,0.017713096
train,291,0.0171,-1.7670039,3,0.07,0.05,0.16,0.04593833,0.056678943
train,292,0.0177,-1.7520267,0,0.02,0.02,0.16,0.009232514,0.011014798
train,293,0.0177,-1.7520267,1,0.14,0.08,0.16,0.008188034,0.010141049
train,294,0.0177,-1.7520267,2,0.11,0.11,0.16,0.02907218,0.039994754
train,295,0.0177,-1.7520267,3,0.88,0.94,0.16,0.023892067,0.029319048
train,296,0.0177,-1.7520267,4,0.09,0.06,0.16,0.12529632,0.15688674
train,297,0.0179,-1.747147,0,0.02,0.02,0.16,0.009210197,0.011013727
train,298,0.0179,-1.747147,1,0.08,0.08,0.16,0.028739462,0.033720333
train,299,0.0179,-1.747147,2,0.11,0.11,0.16,0.029750397,0.040944558
train,300,0.0179,-1.747147,3,0.0,0.94,0.16,0.030161848,0.03062795
train,301,0.0179,-1.747147,4,0.09,0.03,0.16,0.08525629,0.10424411
train,302,0.018,-1.7447275,0,0.02,0.02,0.16,0.0091688745,0.010965825
train,303,0.018,-1.7447275,1,0.14,0.03,0.16,0.0082516065,0.0093590515
train,304,0.018,-1.7447275,2,0.09,0.09,0.16,0.018446568,0.029547468
train,305,0.018,-1.7447275,3,0.94,0.94,0.16,0.047680505,0.05125168
