E,k,Ta_tab,raw_sign,epp,absmu_at_Ta_tab,Ta_star,dev_pct,absmu_star,arg_over_pi,seconds
0.0008,5.0000,179.124500,-1,+1,1.011907,178.904292,-0.1229,1.000000,-0.0000,8.4
0.0008,5.0000,179.124500,-1,-1,0.399134,191.784912,7.0679,1.000000,0.0000,7.1
0.0033,4.9000,163.077000,+1,+1,1.031693,162.541298,-0.3285,1.000000,-0.0000,6.4
0.0033,4.9000,163.077000,+1,-1,1.326182,159.581794,-2.1433,1.000000,0.0000,6.3
0.0171,10.6000,82.146600,-1,+1,7.579522,NaN,NaN,NaN,NaN,29.9
0.0171,10.6000,82.146600,-1,-1,7.651962,NaN,NaN,NaN,NaN,30.1
0.1286,15.6000,26.172200,+1,+1,4.747575,NaN,NaN,NaN,NaN,31.6
0.1286,15.6000,26.172200,+1,-1,12.375774,NaN,NaN,NaN,NaN,31.8
0.7274,13.4000,31.652200,-1,+1,61240.036011,NaN,NaN,NaN,NaN,28.2
0.7274,13.4000,31.652200,-1,-1,804217.226444,NaN,NaN,NaN,NaN,25.8
1.7163,16.8000,45.635300,-1,+1,639497298875919892480.000000,NaN,NaN,NaN,NaN,13.9
1.7163,16.8000,45.635300,-1,-1,1084273.484997,NaN,NaN,NaN,NaN,14.7
10,18.6000,64.888400,+1,+1,90815212777.213211,NaN,NaN,NaN,NaN,13.4
10,18.6000,64.888400,+1,-1,65080165645574856.000000,NaN,NaN,NaN,NaN,14.0
