E,split
0.0001,val
0.0002,test
0.0003,test
0.0004,train
0.0005,train
0.0006,train
0.0007,val
0.0008,train
0.0009,test
0.001,train
0.0011,train
0.0012,val
0.0013,val
0.0014,test
0.0015,test
0.0016,train
0.0017,train
0.0018,train
0.0019,train
0.002,val
0.0021,train
0.0022,train
0.0023,val
0.0024,train
0.0025,train
0.0026,train
0.0027,train
0.0028,train
0.0029,train
0.003,train
0.0031,train
0.0032,train
0.0033,train
0.0034,test
0.0035,train
0.0036,val
0.0037,test
0.0038,train
0.0039,train
0.004,train
0.0041,train
0.0042,train
0.0043,train
0.0044,val
0.0045,train
0.0046,train
0.0047,train
0.0048,train
0.0049,train
0.005,train
0.0051,train
0.0052,test
0.0053,train
0.0054,train
0.0055,test
0.0056,train
0.0057,train
0.0058,train
0.0059,val
0.006,train
0.0061,val
0.0062,train
0.0063,train
0.0064,val
0.0065,train
0.0066,test
0.0067,train
0.0068,train
0.0069,train
0.007,train
0.0071,test
0.0074,train
0.0076,train
0.0077,train
0.008,train
0.0081,val
0.0083,val
0.0086,train
0.0087,train
0.0089,val
0.0092,train
0.0095,train
0.0097,test
0.01,train
0.0103,test
0.0106,val
0.0108,train
0.0109,train
0.0112,train
0.0113,train
0.0115,train
0.0118,train
0.0119,test
0.0121,train
0.0124,test
0.0127,test
0.0129,val
0.013,train
0.0133,train
0.0135,train
0.0136,train
0.0139,train
0.014,train
0.0142,train
0.0145,train
0.0146,val
0.0147,val
0.015,train
0.0151,train
0.0153,train
0.0156,test
0.0157,train
0.0159,train
0.0162,train
0.0163,train
0.0165,val
0.0168,train
0.0171,train
0.0174,test
0.0177,train
0.0179,train
0.018,train
0.0183,train
0.0185,val
0.0186,test
0.0189,train
0.019,test
0.0192,train
0.0195,test
0.0196,train
0.0198,train
0.02,train
0.0202,val
0.0203,test
0.0206,train
0.0207,train
0.0209,train
0.0212,train
0.0213,train
0.0215,train
0.0218,test
0.0221,train
0.0224,train
0.0227,train
0.0229,val
0.023,train
0.0233,train
0.0235,val
0.0236,train
0.0239,test
0.0241,val
0.0242,train
0.0245,train
0.0246,train
0.0248,train
0.025,train
0.0252,train
0.0253,train
0.0256,test
0.0257,train
0.0259,val
0.0262,test
0.0263,val
0.0265,train
0.0266,train
0.0268,train
0.0269,test
0.0271,val
0.0274,train
0.0276,train
0.0279,train
0.028,train
0.0282,train
0.0284,train
0.0286,train
0.0287,val
0.029,train
0.0291,test
0.0293,train
0.0295,val
0.0297,train
0.0298,val
0.03,train
0.0301,train
0.0303,train
0.0306,train
0.0308,train
0.0309,test
0.0311,test
0.0314,val
0.0329,train
0.0343,test
0.0357,train
0.0371,train
0.0386,train
0.04,train
0.0414,train
0.0429,train
0.0443,train
0.0457,val
0.0471,train
0.0486,train
0.05,train
0.0514,train
0.0529,train
0.0543,train
0.0557,test
0.0571,train
0.0586,train
0.06,train
0.0614,train
0.0629,test
0.0643,train
0.0657,train
0.0671,train
0.0686,train
0.07,train
0.0714,test
0.0729,val
0.0743,train
0.0757,train
0.0771,train
0.0786,train
0.08,train
0.0814,val
0.0829,train
0.0843,train
0.0857,train
0.0871,train
0.0886,train
0.09,train
0.0914,test
0.0929,train
0.0943,val
0.0957,train
0.0971,train
0.0986,train
0.1,test
0.1041,test
0.1082,test
0.1122,val
0.1163,val
0.1204,train
0.1245,train
0.1286,train
0.1327,train
0.1367,train
0.1408,train
0.1449,val
0.149,test
0.1531,train
0.1571,train
0.1612,val
0.1653,train
0.1694,train
0.1735,train
0.1776,train
0.1816,val
0.1857,test
0.1898,train
0.1939,train
0.198,train
0.202,train
0.2061,train
0.2102,val
0.2143,train
0.2184,train
0.2224,train
0.2265,train
0.2306,val
0.2347,train
0.2388,test
0.2429,train
0.2469,train
0.251,train
0.2551,train
0.2592,train
0.2633,train
0.2673,train
0.2714,train
0.2755,train
0.2796,train
0.2837,val
0.2878,val
0.2918,train
0.2959,train
0.3,val
0.3003,test
0.302,train
0.3087,test
0.3172,test
0.3256,train
0.3341,val
0.3425,train
0.351,train
0.3594,train
0.3679,train
0.3764,train
0.3848,train
0.3933,val
0.4017,test
0.4102,train
0.4186,train
0.4271,test
0.4355,train
0.444,train
0.4524,train
0.4609,val
0.4694,train
0.4778,train
0.4863,test
0.4947,train
0.5032,train
0.5041,train
0.5116,test
0.5201,train
0.5285,val
0.537,test
0.5455,val
0.5539,train
0.5624,val
0.5708,train
0.5793,train
0.5877,train
0.5962,val
0.6046,train
0.6131,val
0.6215,train
0.63,train
0.6385,train
