method,E,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE,covered_frac,err_Ta_c_pct,err_k_c
PCHIP-2D,0.0002,184.54029999999997,5.0,190.08815317918013,5.0,4.113344538048478,1.0,3.0063098299830227,0.0
Branch-interp,0.0002,184.54029999999997,5.0,183.72604890490996,5.0,0.9159267160581473,1.0,0.44123212929101374,0.0
PCHIP-1D,0.0002,184.54029999999997,5.0,190.08815317918013,5.0,,,3.0063098299830227,0.0
PCHIP-2D,0.0003,183.7264999999999,5.0,185.7701564381148,5.0,1.7678954917387704,1.0,1.1123362378943291,0.0
Branch-interp,0.0003,183.7264999999999,5.0,183.72604890490996,5.0,0.12130589926554075,1.0,0.00024552532701394014,0.0
PCHIP-1D,0.0003,183.7264999999999,5.0,185.7701564381148,5.0,,,1.1123362378943291,0.0
PCHIP-2D,0.0009,178.40270000000004,5.0,178.4007919720431,5.0,0.3647051840809589,1.0,0.0010695062109156162,0.0
Branch-interp,0.0009,178.40270000000004,5.0,178.6378266290308,5.0,0.12502157245362847,1.0,0.1317954431355295,0.0
PCHIP-1D,0.0009,178.40270000000004,5.0,178.4007919720431,5.0,,,0.0010695062109156162,0.0
PCHIP-2D,0.0014,174.32870000000003,5.0,174.51688180611032,5.0,1.1937084701090768,1.0,0.10794654357559885,0.0
Branch-interp,0.0014,174.32870000000003,5.0,175.19497282915518,5.0,0.8536833840862141,1.0,0.49691922738777095,0.0
PCHIP-1D,0.0014,174.32870000000003,5.0,174.51688180611032,5.0,,,0.10794654357559885,0.0
PCHIP-2D,0.0015,173.69099999999992,5.0,173.7503330282774,5.0,0.7856093640612574,1.0,0.0341601051738305,0.0
Branch-interp,0.0015,173.69099999999992,5.0,174.21466713135845,5.0,0.556650669612432,1.0,0.3014935323986556,0.0
PCHIP-1D,0.0015,173.69099999999992,5.0,173.7503330282774,5.0,,,0.0341601051738305,0.0
PCHIP-2D,0.0034,162.64490000000006,4.9,162.65883034875364,4.9,0.16969167379730862,1.0,0.008564885067752215,0.0
Branch-interp,0.0034,162.64490000000006,4.9,162.6569508909193,4.8,0.2504082206944808,1.0,0.007409326034335528,0.10000000000000053
PCHIP-1D,0.0034,162.64490000000006,4.9,162.65950984271635,4.9,,,0.008982662669576591,0.0
PCHIP-2D,0.0037,160.9842,4.8,161.09677635708985,4.8,0.37526391526581926,1.0,0.06993006586353268,0.0
Branch-interp,0.0037,160.9842,4.8,161.1164505985968,4.8,0.5208157253803314,1.0,0.0821512909942701,0.0
PCHIP-1D,0.0037,160.9842,4.8,161.0956944648333,4.824727281944061,,,0.06925801714285917,0.024727281944061374
PCHIP-2D,0.0052,155.13189999999997,4.7,155.2804808239998,4.7,0.38144919121677356,1.0,0.0957770929124413,0.0
Branch-interp,0.0052,155.13189999999997,4.7,154.8489428571429,4.7,0.6813323826045355,1.0,0.182397780764032,0.0
PCHIP-1D,0.0052,155.13189999999997,4.7,155.2804808239998,4.7,,,0.0957770929124413,0.0
PCHIP-2D,0.0055,154.27010000000007,4.7,154.270074294758,4.7,0.004822258390841903,1.0,1.666249135334752e-05,0.0
Branch-interp,0.0055,154.27010000000007,4.7,154.28677095957036,4.7,0.05281239582778752,1.0,0.010806345215486068,0.0
PCHIP-1D,0.0055,154.27010000000007,4.7,154.2701321226768,4.7,,,2.0822360746741708e-05,0.0
PCHIP-2D,0.0066,151.09699999999995,4.5,150.9653469718657,4.5,0.3789134466704436,1.0,0.0871314639829035,0.0
Branch-interp,0.0066,151.09699999999995,4.5,150.98074526880572,4.5,0.3458149375152904,1.0,0.07694046287763934,0.0
PCHIP-1D,0.0066,151.09699999999995,4.5,150.50936916708454,7.178977827137986,,,0.38890966261104776,2.6789778271379863
PCHIP-2D,0.0071,145.12379999999996,9.6,145.06924598792682,9.6,0.1611565095989296,1.0,0.03759136135709218,0.0
Branch-interp,0.0071,145.12379999999996,9.6,145.06218732013565,9.6,0.22495982191564934,1.0,0.0424552553504709,0.0
PCHIP-1D,0.0071,145.12379999999996,9.6,145.06924598792682,9.6,,,0.03759136135709218,0.0
