E,split,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE,Ta_c_old,k_c_old
0.0001,val,185.3679,5.0,193.27231,10.31,25.895640870814585,193.3630828857422,5.939999580383301
0.0002,test,184.5403,5.0,192.5527,9.93,25.29368633311777,188.2438201904297,5.179999828338623
0.0003,test,183.7265,5.0,191.20459,4.99,16.994829499762904,188.4723663330078,5.179999828338623
0.0004,train,182.9263,5.0,188.7586,4.800000000000001,1.426805092086549,187.96974182128903,5.179999828338623
0.0005,train,181.3664,5.0,186.9578,4.99,1.8532715234017962,185.694091796875,5.179999828338623
0.0006,train,180.6062,5.0,186.31119,4.800000000000001,1.1572741348390663,184.01251220703125,5.179999828338623
0.0007,val,179.8589,5.0,184.20491,4.801,2.773850728988218,183.7158050537109,5.179999828338623
0.0008,train,179.1245,5.0,182.54698,5.075,1.930354834276043,183.1747131347656,5.488800048828125
0.0009,test,178.4027,5.0,181.87135,5.115975165296577,3.3191876710926875,182.0443420410156,4.898799896240234
0.001,train,177.6934,5.0,183.38893,4.906757278644544,1.6312205580148156,181.6926422119141,5.237999439239502
0.0011,train,176.9964,5.0,181.44138,4.736792852167783,1.8769574056680023,180.7423248291016,5.029999732971191
0.0012,val,176.3116,5.0,179.98026,4.712445880136038,2.640798886746558,183.11947631835935,5.470000267028809
0.0013,val,174.9779,5.0,180.70505,5.132976279145755,1.9102039227283787,178.6736297607422,4.86400032043457
0.0014,test,174.3287,5.0,178.17831,4.9723765315960415,2.4618956707140778,177.48483276367188,4.990000247955322
0.0015,test,173.691,5.0,177.55931,5.2183301998619696,2.593215912564282,177.2428436279297,5.159999847412109
0.0016,train,173.0649,5.0,177.41232,5.177659711638739,1.1860859144431297,176.89266967773438,5.063999652862549
0.0017,train,172.45,5.0,178.0069,5.0551154044778475,1.1443497341639137,176.5175018310547,5.00160026550293
0.0018,train,171.8462,5.0,176.48473,4.924248583349564,1.2907806965698476,175.1472625732422,4.903200149536133
0.0019,train,171.2535,5.0,174.52527,5.375389563274707,1.5321160085813932,174.30360412597656,5.222400188446045
0.002,val,170.1005,5.0,173.5275,5.252198414816595,1.801431818999508,173.01673889160156,5.223999977111816
0.0021,train,169.5361,4.9,172.36671,5.070755410131411,1.2312546390837367,172.4534912109375,5.190400123596191
0.0022,train,168.981,4.9,171.08342,5.024568763971628,1.5217334582382502,171.81228637695312,5.325999736785889
0.0023,val,168.436,4.9,170.50993,4.894586826273384,1.4129745488540166,171.1888427734375,5.242000102996826
0.0024,train,167.9012,4.9,169.6812,4.8622696531187035,1.2809883377808222,170.4022979736328,4.957600116729736
0.0025,train,167.3762,4.9,169.42633,4.817859695772789,1.3059653328469119,170.06222534179688,4.918800354003906
0.0026,train,166.8611,4.9,169.04886,4.760538100949622,1.128604694293626,169.5186309814453,4.84119987487793
0.0027,train,166.3556,4.9,168.50168,4.665240338274716,1.102583392687807,168.88111877441406,5.035200119018555
0.0028,train,165.3732,4.9,167.77686,4.608642568462731,1.3199293648005792,167.8232879638672,5.13599967956543
0.0029,train,164.896,4.9,167.14848,4.533344697674151,1.1186495336528985,167.36541748046875,5.0920000076293945
0.003,train,164.4279,4.9,167.18523,4.47604982398279,0.8472010551434533,166.91949462890625,5.011199951171875
0.0031,train,163.9689,4.9,166.96698,4.438080485639687,0.7572051508004113,166.38522338867188,4.960000038146973
0.0032,train,163.5188,4.9,168.12033,5.18,3.2506538433777945,166.17726135253906,5.022799968719482
0.0033,train,163.0775,4.9,167.15611,4.827,1.0989904126933399,166.84716796875,4.800000190734863
0.0034,test,162.6449,4.9,167.60622,4.99,2.576896476564007,166.21336364746094,5.179999828338623
0.0035,train,162.2208,4.9,166.21765,4.609999999999999,2.2462595694205265,165.39492797851562,5.179999828338623
0.0036,val,161.3909,4.8,165.14955,4.609999999999999,1.541947912652432,164.12745666503906,4.800000190734863
0.0037,test,160.9842,4.8,164.54337,4.609999999999999,1.6678591844052757,163.7042999267578,4.800000190734863
0.0038,train,160.5855,4.8,164.58987,4.609999999999999,2.1557528024786343,163.50123596191406,4.800000190734863
0.0039,train,160.1946,4.8,162.28377,5.0,0.9070411307576373,164.0056610107422,5.179999828338623
0.004,train,159.8115,4.8,163.48628,4.609999999999999,2.030750355607286,162.6006622314453,4.616000175476074
0.0041,train,159.4359,4.8,162.26535,4.609999999999999,2.054173800164289,162.44024658203125,4.800000190734863
0.0042,train,159.0679,4.8,161.98657,4.609999999999999,1.838752477858432,161.9581298828125,4.800000190734863
0.0043,train,158.7072,4.8,162.01202,4.42,1.8150937017587891,161.40252685546875,4.800000190734863
0.0044,val,158.0075,4.8,159.09753,4.8,0.9133204035988659,160.87156677246094,4.6479997634887695
0.0045,train,157.6682,4.8,158.33891,4.7,0.5902207164079059,159.69544982910156,4.739200115203857
0.0046,train,157.3358,4.8,161.6592,4.609999999999999,2.518702873687536,159.24227905273438,4.759200096130371
0.0047,train,157.0102,4.7,157.57774,4.7,0.5927642969413948,161.81134033203125,4.800000190734863
0.0048,train,156.6818,4.7,160.94067,4.609999999999999,2.03922670455631,158.6057891845703,4.640800476074219
0.0049,train,156.3597,4.7,157.02365,4.674744880247699,0.6447515343858375,160.03993225097656,4.420000076293945
