E,split,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE,Ta_c_old,k_c_old
0.0001,val,185.3679,5.0,198.75592,5.56,7.314025341161061,193.3630828857422,5.939999580383301
0.0002,test,184.5403,5.0,197.69551,4.99,7.310398353269686,188.2438201904297,5.179999828338623
0.0003,test,183.7265,5.0,188.91437,4.99,2.5129661142912005,188.4723663330078,5.179999828338623
0.0004,train,182.9263,5.0,184.0179,4.99,0.4686403332372228,187.96974182128903,5.179999828338623
0.0005,train,181.3664,5.0,181.93004,4.99,0.46040019899751844,185.694091796875,5.179999828338623
0.0006,train,180.6062,5.0,181.89034,4.99,0.3855225037166507,184.01251220703125,5.179999828338623
0.0007,val,179.8589,5.0,182.14464,4.801,0.7137802798423238,183.7158050537109,5.179999828338623
0.0008,train,179.1245,5.0,180.54358,5.075,0.45880173255329953,183.1747131347656,5.488800048828125
0.0009,test,178.4027,5.0,180.9337,4.772977234855196,1.376674338226701,182.0443420410156,4.898799896240234
0.001,train,177.6934,5.0,179.66643,5.0695388319214,0.526487563582578,181.6926422119141,5.237999439239502
0.0011,train,176.9964,5.0,177.93861,4.892492554341441,0.5269941650391013,180.7423248291016,5.029999732971191
0.0012,val,176.3116,5.0,177.88588,4.712445880136038,0.9471861221819264,183.11947631835935,5.470000267028809
0.0013,val,174.9779,5.0,177.66925,4.562910585470479,2.4663631873989686,178.6736297607422,4.86400032043457
0.0014,test,174.3287,5.0,176.40637,5.109355032685561,1.7045492946065104,177.48483276367188,4.990000247955322
0.0015,test,173.691,5.0,175.46075,5.0865073811162835,1.423093758396503,177.2428436279297,5.159999847412109
0.0016,train,173.0649,5.0,174.42369,4.924468213963664,0.671589667920808,176.89266967773438,5.063999652862549
0.0017,train,172.45,5.0,173.96071,4.809350834509493,0.6783366968729284,176.5175018310547,5.00160026550293
0.0018,train,171.8462,5.0,172.81853,4.686415335873832,0.5094625116158958,175.1472625732422,4.903200149536133
0.0019,train,171.2535,5.0,171.52823,5.145105902049722,0.543735237982649,174.30360412597656,5.222400188446045
0.002,val,170.1005,5.0,170.23154,5.364098373101243,1.0534648920858407,173.01673889160156,5.223999977111816
0.0021,train,169.5361,4.9,169.516,5.17788055250329,0.46960917319729123,172.4534912109375,5.190400123596191
0.0022,train,168.981,4.9,169.27791,5.130478468286671,0.5799785291521512,171.81228637695312,5.325999736785889
0.0023,val,168.436,4.9,168.34647,4.997075953280579,0.5095103738086155,171.1888427734375,5.242000102996826
0.0024,train,167.9012,4.9,167.39214,4.963908328200775,0.5055212716826968,170.4022979736328,4.957600116729736
0.0025,train,167.3762,4.9,167.19667,4.918329687766811,0.5504317394035418,170.06222534179688,4.918800354003906
0.0026,train,166.8611,4.9,167.00606,4.859499629921981,0.516939962273923,169.5186309814453,4.84119987487793
0.0027,train,166.3556,4.9,166.33939,4.761694031387209,0.5075575430363564,168.88111877441406,5.035200119018555
0.0028,train,165.3732,4.9,165.50108,4.70360684658017,0.6250234061236256,167.8232879638672,5.13599967956543
0.0029,train,164.896,4.9,164.98193,4.626327452876103,0.5036053141208104,167.36541748046875,5.0920000076293945
0.003,train,164.4279,4.9,164.58563,4.5675248193507585,0.4232267624799651,166.91949462890625,5.011199951171875
0.0031,train,163.9689,4.9,164.6593,4.5285562878933625,0.3802078299776965,166.38522338867188,4.960000038146973
0.0032,train,163.5188,4.9,164.29099,4.99,0.9970465423605208,166.17726135253906,5.022799968719482
