E,split,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE,Ta_c_old,k_c_old
0.0001,val,185.3679,5.0,195.67786,4.99,8.03553930139788,193.3630828857422,5.939999580383301
0.0002,test,184.5403,5.0,199.08452,4.99,5.769198484153614,188.2438201904297,5.179999828338623
0.0003,test,183.7265,5.0,189.90288,4.99,2.2072771963934597,188.4723663330078,5.179999828338623
0.0004,train,182.9263,5.0,183.60158,4.99,0.2622233978782169,187.96974182128903,5.179999828338623
0.0005,train,181.3664,5.0,182.56616,4.99,0.2998716650687969,185.694091796875,5.179999828338623
0.0006,train,180.6062,5.0,182.47726,5.18,0.3025734931260679,184.01251220703125,5.179999828338623
0.0007,val,179.8589,5.0,181.29129,5.163,0.8609600644481066,183.7158050537109,5.179999828338623
0.0008,train,179.1245,5.0,179.3794,5.075,0.34433735183762726,183.1747131347656,5.488800048828125
0.0009,test,178.4027,5.0,179.2199,4.944476200075886,1.2737724130303896,182.0443420410156,4.898799896240234
0.001,train,177.6934,5.0,179.0407,5.0695388319214,0.35937606373996295,181.6926422119141,5.237999439239502
0.0011,train,176.9964,5.0,177.76971,4.892492554341441,0.36180597056918196,180.7423248291016,5.029999732971191
0.0012,val,176.3116,5.0,179.25334,4.712445880136038,0.9434341616103123,183.11947631835935,5.470000267028809
0.0013,val,174.9779,5.0,178.67206,4.705427008889298,1.7735161016617855,178.6736297607422,4.86400032043457
0.0014,test,174.3287,5.0,175.7791,4.9723765315960415,1.6271109899748355,177.48483276367188,4.990000247955322
0.0015,test,173.691,5.0,174.20148,5.3501530186076565,1.2266289749617574,177.2428436279297,5.159999847412109
0.0016,train,173.0649,5.0,173.37688,5.177659711638739,0.3479195430895381,176.89266967773438,5.063999652862549
0.0017,train,172.45,5.0,173.38637,5.177997689462025,0.30319552700794694,176.5175018310547,5.00160026550293
0.0018,train,171.8462,5.0,172.14738,4.924248583349564,0.26824589660126325,175.1472625732422,4.903200149536133
0.0019,train,171.2535,5.0,171.46564,4.914822240824738,0.2602677133777027,174.30360412597656,5.222400188446045
0.002,val,170.1005,5.0,170.3595,5.0283984982473005,0.8505204123665865,173.01673889160156,5.223999977111816
0.0021,train,169.5361,4.9,169.32643,4.963630267759532,0.3040937138018088,172.4534912109375,5.190400123596191
0.0022,train,168.981,4.9,169.28145,4.918659059656585,0.2566347916160955,171.81228637695312,5.325999736785889
0.0023,val,168.436,4.9,168.99966,4.79209769926619,0.5206058354513434,171.1888427734375,5.242000102996826
0.0024,train,167.9012,4.9,167.77249,4.760630978036632,0.3232339637424811,170.4022979736328,4.957600116729736
0.0025,train,167.3762,4.9,167.42877,4.717389703778768,0.32888732755085137,170.06222534179688,4.918800354003906
0.0026,train,166.8611,4.9,167.15282,4.760538100949622,0.348970390649428,169.5186309814453,4.84119987487793
0.0027,train,166.3556,4.9,166.29076,4.954601417612194,0.3498872264773597,168.88111877441406,5.035200119018555
0.0028,train,165.3732,4.9,165.45538,4.8935354028150515,0.3135626345215542,167.8232879638672,5.13599967956543
0.0029,train,164.896,4.9,164.93658,4.812292963280006,0.3848255061886958,167.36541748046875,5.0920000076293945
0.003,train,164.4279,4.9,164.67068,4.750474810086695,0.3923470819209358,166.91949462890625,5.011199951171875
0.0031,train,163.9689,4.9,164.32677,4.890459496908067,0.29687293814962895,166.38522338867188,4.960000038146973
0.0032,train,163.5188,4.9,164.48378,4.99,0.5668970347405325,166.17726135253906,5.022799968719482
0.0033,train,163.0775,4.9,164.16542,4.827,0.3578178726664777,166.84716796875,4.800000190734863
0.0034,test,162.6449,4.9,163.27438,5.18,0.5845288014996988,166.21336364746094,5.179999828338623
0.0035,train,162.2208,4.9,162.36945,5.18,0.6289192540744725,165.39492797851562,5.179999828338623
0.0036,val,161.3909,4.8,161.92375,4.99,0.8893923464173614,164.12745666503906,4.800000190734863
0.0037,test,160.9842,4.8,161.1383,4.99,0.6557171807669178,163.7042999267578,4.800000190734863
0.0038,train,160.5855,4.8,160.95067,4.99,0.5411932550990557,163.50123596191406,4.800000190734863
0.0039,train,160.1946,4.8,161.18567,4.76,0.27626341296615753,164.0056610107422,5.179999828338623
0.004,train,159.8115,4.8,160.17755,4.99,0.5235327057996227,162.6006622314453,4.616000175476074
0.0041,train,159.4359,4.8,159.19467,4.99,0.5880310138243371,162.44024658203125,4.800000190734863
0.0042,train,159.0679,4.8,158.9536,4.800000000000001,0.4693479548548243,161.9581298828125,4.800000190734863
0.0043,train,158.7072,4.8,158.87024,4.800000000000001,0.5315810855796392,161.40252685546875,4.800000190734863
0.0044,val,158.0075,4.8,158.83508,4.724,0.5803410980045611,160.87156677246094,4.6479997634887695
0.0045,train,157.6682,4.8,158.14394,4.6259999999999994,0.22951562660644464,159.69544982910156,4.739200115203857
0.0046,train,157.3358,4.8,157.9734,4.800000000000001,0.47640252499968033,159.24227905273438,4.759200096130371
0.0047,train,157.0102,4.7,157.37346,4.6259999999999994,0.1902850120675615,161.81134033203125,4.800000190734863
0.0048,train,156.6818,4.7,157.27077,4.800000000000001,0.407103181639856,158.6057891845703,4.640800476074219
0.0049,train,156.3597,4.7,156.645,4.527755085037791,0.25173640359436444,160.03993225097656,4.420000076293945
0.005,train,156.0439,4.7,156.775,4.609999999999999,0.48205861081551915,157.9380340576172,4.533200263977051
0.0051,train,155.734,4.7,155.8893,4.742983563659179,0.2185637899650376,159.587890625,4.420000076293945
0.0052,test,155.1319,4.7,155.0635,4.640000000000001,0.5573473495051009,156.8598175048828,4.61199951171875
0.0053,train,154.8393,4.7,154.91542,4.692,0.28238122733245913,156.53038024902344,4.556000232696533
0.0054,train,154.5521,4.7,154.85394,4.640000000000001,0.19264230679687835,156.2635498046875,4.606800079345703
0.0055,test,154.2701,4.7,154.52884,4.665763623338838,0.34665894042581263,155.97132873535156,4.505200386047363
0.0056,train,153.9932,4.7,154.1078,4.58706853954458,0.2892146059906391,155.66323852539062,4.61199951171875
0.0057,train,153.7208,4.6,153.82379,4.5875438362467476,0.23705554784531407,155.34420776367188,4.671999931335449
0.0058,train,153.4421,4.6,153.47351,4.5360000000000005,0.2672312437580834,155.05767822265625,4.671999931335449
0.0059,val,152.8975,4.6,153.11967,4.536,0.28232334442503054,154.4398193359375,4.618000030517578
0.006,train,152.6311,4.6,152.79607,4.5095665863781145,0.2613936395179074,154.11573791503906,4.53600025177002
0.0061,val,152.3685,4.6,152.37483,4.509786875699119,0.39161500427241214,153.8862762451172,4.483999729156494
0.0062,train,152.1093,4.6,152.09329,4.466105962305257,0.24849893601679882,153.64181518554688,4.457200050354004
0.0063,train,151.8534,4.6,151.88196,4.484,0.21983641456672104,153.41995239257812,4.405599594116211
0.0064,val,151.6005,4.6,151.59315,4.458203133266119,0.27427179078103453,153.1483917236328,4.405599594116211
0.0065,train,151.3505,4.6,150.97058,4.432,0.31375264203058284,152.84329223632812,4.457200050354004
0.0066,test,151.097,4.5,150.55515,4.457803022765885,0.5080575525088232,152.05294799804688,9.583999633789062
0.0067,train,149.3567,9.7,149.19643,9.679505330567984,0.30970305679257076,149.84466552734375,9.583999633789062
0.0068,train,148.2751,9.7,148.06737,9.55,0.4099193367267754,148.79696655273438,9.75
0.0069,train,147.2074,9.6,146.744,9.55,0.5626211488467039,150.23001098632812,9.739999771118164
0.007,train,146.1565,9.6,146.25154,9.55,0.4684921021344723,148.7455291748047,10.196000099182127
0.0071,test,145.1238,9.6,144.9994,9.55,0.6029247908401395,147.6212921142578,9.359999656677246
0.0074,train,141.8222,9.6,141.54764,9.55,0.6066816616684236,144.47486877441406,9.359999656677246
0.0076,train,139.7771,9.6,139.22653,9.93,0.687461075050709,142.8150634765625,10.196000099182127
0.0077,train,138.7142,9.6,138.91365,9.93,0.5180123561628738,141.94053649902344,10.272000312805176
0.008,train,135.7992,9.6,137.71161,9.93,0.9233226653651475,139.6126708984375,9.83199977874756
0.0081,val,134.4992,9.6,134.88914,8.52,5.83908694433859,138.00201416015625,9.887200355529783
0.0083,val,133.0721,9.6,131.70236,9.34,1.0140638093680936,137.57223510742188,9.128000259399414
0.0086,train,130.5149,9.6,130.22531,9.512,0.22491346814123353,130.99725341796875,9.650400161743164
0.0087,train,129.8109,9.6,129.89899,9.534,0.16830462460932905,130.26455688476562,9.51200008392334
0.0089,val,128.0901,9.5,128.1506,9.8,0.7650105236146354,128.5645751953125,9.47599983215332
0.0092,train,125.7582,9.5,130.46649,11.092355211232622,2.4028997781730115,126.80945587158205,9.811200141906738
0.0095,train,123.492,9.5,123.19798,9.611,0.23464900564273547,124.61835479736328,9.569600105285645
0.0097,test,121.2745,9.5,120.249695,9.422,1.085919437981768,121.8520736694336,9.569600105285645
0.01,train,119.1002,9.5,118.948105,9.578994406544929,0.21413262712391973,119.570068359375,9.569600105285645
0.0103,test,116.9699,9.5,116.482185,9.455030439235827,0.3305701135618706,117.43949127197266,9.569600105285645
