E,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE
0.0002,184.5403,5.0,186.31744,8.98,28.464723912081542
0.0003,183.7265,5.0,188.22874,5.37,23.541500575749268
0.0009,178.4027,5.0,181.04816,5.115975165296577,2.1614212843569915
0.0014,174.3287,5.0,177.02046,5.383312034864598,1.3517718464778716
0.0015,173.691,5.0,176.33742,5.2183301998619696,2.3005780048186373
0.0034,162.6449,4.9,164.91206,4.800000000000001,1.3644664223440761
0.0037,160.9842,4.8,162.8614,4.99,1.081483052559446
0.0052,155.1319,4.7,156.13725,4.29,0.6986004379385624
0.0055,154.2701,4.7,155.63495,4.524772714748883,0.7721673287179063
0.0066,151.097,4.5,150.64786,9.872689382053895,0.7988903649082781
0.0071,145.1238,9.6,146.92438,9.74,1.5804708321733836
0.0097,121.2745,9.5,121.610985,9.914,1.3062524780376652
0.0103,116.9699,9.5,116.78517,9.455030439235827,0.5250605835824531
0.0119,106.7607,9.6,106.21778,9.708907232670546,1.3389372432246767
0.0124,103.5658,9.6,105.24468,9.766,3.439117604143336
0.0127,101.88,9.7,103.84758,9.74,2.6121990661139383
0.0156,87.7727,10.2,87.739975,10.105822814815065,0.2822201333392995
0.0174,81.1148,10.7,79.74046,10.727,1.7537111420355362
0.0186,77.2257,11.0,76.99661,11.026209729874449,0.40128070778665137
0.019,75.7865,11.1,76.81286,10.86,0.8196826761344131
0.0195,74.5646,11.2,74.25684,11.474,0.8167376289343014
0.0203,72.1216,11.5,71.918175,11.356717988230816,0.5467515685104989
0.0218,68.5635,12.1,68.50263,12.213418606977289,0.3325446344830031
0.0239,64.7112,13.1,64.34242,13.00915484204312,0.2893979545453586
0.0256,62.2736,14.2,62.007587,14.23764162754926,0.32885457218862374
0.0262,61.5743,14.6,61.336506,14.644576496024309,0.27796177386079146
0.0269,60.8537,15.0,60.735043,14.867210560804187,0.43815274594319115
0.0291,57.932,12.5,57.920628,12.415372257381097,0.39244905165893584
0.0309,56.1506,13.1,55.94688,12.656,0.4497750070279623
0.0311,55.8932,4.8,55.84925,12.52,0.43111658042341783
0.0343,51.8611,5.0,51.57922,4.77469407036445,2.957208632634566
0.0557,42.2989,12.5,43.664032,8.98,3.2779109086929994
0.0629,39.5919,8.1,39.90873,8.790000000000001,4.223428468645676
0.0714,35.8881,8.2,36.95055,9.36,3.8717236190696678
0.0914,30.8016,6.0,31.726765,6.32,2.01691561834156
0.1,29.2274,6.4,30.374407,8.600000000000001,3.0669522444070973
0.1041,28.8085,6.6,29.436213,8.790000000000001,3.4145341247177026
0.1082,28.3133,15.6,28.544151,9.74,3.3876307159042147
0.149,27.7785,16.3,28.019096,15.82,4.750934001677049
0.1857,28.782,16.3,29.174644,15.82,1.4020254320960535
0.2388,26.9518,16.5,27.129555,16.770000000000003,1.317019057903086
0.3003,27.3752,14.2,27.766972,16.200000000000003,1.6423562615794634
0.3087,27.2404,14.8,27.615934,16.01,1.489614341967893
0.3172,27.1587,15.3,27.715153,15.82,1.507452316619185
0.4017,27.7783,12.8,28.319883,14.87,2.043193366642564
0.4271,28.1264,13.4,28.692156,16.01,1.6469614675013586
0.4863,29.3543,14.6,30.003313,15.82,1.6768136303105035
0.5116,29.9875,15.0,30.673468,15.25,1.663064976215467
0.537,30.6552,15.3,31.318798,16.39,2.1859624502452513
0.7167,31.5804,13.2,32.59167,15.06,2.9317936739252244
0.7274,31.6522,13.4,32.73085,15.06,2.966770394308877
0.7593,31.9021,13.7,33.094162,14.87,2.6647648810948934
0.7806,32.0927,14.0,33.30197,15.06,2.717718938955978
0.8018,32.3009,14.2,33.48952,15.06,2.84998322210269
0.8231,32.5243,14.4,33.740383,15.25,2.949424257262965
2.1204,50.6763,16.7,52.04606,15.82,3.863476585725303
2.5564,55.0525,16.4,56.118256,15.25,1.9088484978271303
2.6096,55.5219,16.4,56.381115,15.82,1.5865523939790998
2.6202,55.6143,16.4,56.455677,15.82,1.536595282338898
3.7367,59.3921,18.6,60.78855,15.44,1.4412284738239827
4.949,61.4511,18.6,62.87738,16.01,1.8233631553339926
6.3633,62.9268,18.6,64.23866,16.01,1.4974641038758543
7.1714,63.5243,18.6,64.36554,15.82,1.100367259920586
8.7878,64.406,18.6,65.83829,16.200000000000003,1.4386675900046622
