E,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE
0.0002,184.5403,5.0,175.58717,4.99,1.6036643269229287
0.0003,183.7265,5.0,174.17174,4.99,1.3228806262214983
0.0009,178.4027,5.0,176.00188,4.772977234855196,1.8537996056870014
0.0014,174.3287,5.0,174.36478,4.9723765315960415,1.1642191271173468
0.0015,173.691,5.0,174.80894,5.0865073811162835,0.9447926259680767
0.0034,162.6449,4.9,159.7655,4.800000000000001,2.164657078916729
0.0037,160.9842,4.8,158.71082,4.609999999999999,1.70705265667788
0.0052,155.1319,4.7,154.87659,4.359999999999999,1.1963860026850321
0.0055,154.2701,4.7,153.83792,4.877249986223772,0.8063404035967516
0.0066,151.097,4.5,150.3364,4.723787870670954,0.9850574863084121
0.0071,145.1238,9.6,144.22092,10.5,2.2587282832913647
0.0097,121.2745,9.5,121.54487,8.93,1.7945270673989802
0.0103,116.9699,9.5,116.605835,9.700262289486156,1.256327870542496
0.0119,106.7607,9.6,105.88981,9.34991562450789,1.855550046293606
0.0124,103.5658,9.6,104.78567,10.123,2.3126340669845056
0.0127,101.88,9.7,99.825836,9.55,2.0693226822487203
0.0156,87.7727,10.2,87.09925,10.172327632946633,0.6442291316362811
0.0174,81.1148,10.7,79.67895,10.727,1.5523149840358217
0.0186,77.2257,11.0,76.64331,11.026209729874449,0.7982890785618613
0.019,75.7865,11.1,75.572525,11.175,0.8230408652895322
0.0195,74.5646,11.2,74.08593,11.474,1.5910331316251543
0.0203,72.1216,11.5,71.72402,11.50321429351504,0.9397612343910995
0.0218,68.5635,12.1,67.94554,11.688480535537556,0.9015112512864883
0.0239,64.7112,13.1,64.45743,13.085142289412218,0.5211012049079623
0.0256,62.2736,14.2,62.039345,14.172896027858803,0.5307220920525574
0.0262,61.5743,14.6,61.365723,14.462005240206954,0.4746620342029244
0.0269,60.8537,15.0,60.77119,14.92553771352232,0.6061140435978213
0.0291,57.932,12.5,57.76472,12.509037779222831,0.7629536252965745
0.0309,56.1506,13.1,55.03534,4.780000000000001,1.4171720089587407
0.0311,55.8932,4.8,55.043182,4.780000000000001,1.7105603177063131
0.0343,51.8611,5.0,50.252594,4.885714484198698,6.280623786466924
0.0557,42.2989,12.5,42.31173,14.3,5.351892032967892
0.0629,39.5919,8.1,40.773285,8.98,5.252317246470098
0.0714,35.8881,8.2,37.344048,8.600000000000001,4.015239508325351
0.0914,30.8016,6.0,31.67583,6.89,2.831812124042637
0.1,29.2274,6.4,30.118961,5.56,3.752230635673553
0.1041,28.8085,6.6,29.488832,8.790000000000001,4.557665826778658
0.1082,28.3133,15.6,27.432747,14.110000000000001,5.067077147885334
0.149,27.7785,16.3,27.404812,19.05,5.7785366767737285
0.1857,28.782,16.3,28.284851,16.770000000000003,2.2157066909881005
0.2388,26.9518,16.5,26.426285,19.05,1.6117129158233576
0.3003,27.3752,14.2,26.466919,13.920000000000002,2.463375950176374
0.3087,27.2404,14.8,26.490765,19.05,2.6494444970795743
0.3172,27.1587,15.3,26.330606,19.05,1.801386217768219
0.4017,27.7783,12.8,27.25905,13.73,4.709319718704132
0.4271,28.1264,13.4,27.536238,13.73,4.670254002236464
0.4863,29.3543,14.6,28.532461,13.920000000000002,5.143916898156082
0.5116,29.9875,15.0,29.284208,14.110000000000001,6.224865347866448
0.537,30.6552,15.3,30.244333,14.110000000000001,4.681852671168336
0.7167,31.5804,13.2,30.450903,14.489999999999998,2.9767898304199107
0.7274,31.6522,13.4,30.35696,14.489999999999998,2.9585222768555273
0.7593,31.9021,13.7,30.130644,14.489999999999998,2.962912322148583
0.7806,32.0927,14.0,30.21445,14.489999999999998,2.883841016672483
0.8018,32.3009,14.2,30.351547,14.489999999999998,2.9533415522167394
0.8231,32.5243,14.4,30.477955,14.489999999999998,3.166443306791701
2.1204,50.6763,16.7,47.579575,17.53,3.9047260069288656
2.5564,55.0525,16.4,51.33455,14.489999999999998,3.6455610635491733
2.6096,55.5219,16.4,51.771812,14.489999999999998,3.6571105288479004
2.6202,55.6143,16.4,51.86332,14.489999999999998,3.658252805462066
3.7367,59.3921,18.6,55.374355,19.05,2.601945025187351
4.949,61.4511,18.6,55.71705,19.05,2.8991388034931367
6.3633,62.9268,18.6,55.21561,19.05,3.138672982086283
7.1714,63.5243,18.6,54.838337,19.05,3.1856028320436938
8.7878,64.406,18.6,54.172195,19.05,3.133815757395422
