E,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE
0.0002,184.5403,5.0,189.70291,5.56,22.32762179648437
0.0003,183.7265,5.0,187.21214,4.42,12.56053817845933
0.0009,178.4027,5.0,180.76068,4.4299793044138145,2.56395078325613
0.0014,174.3287,5.0,176.50352,5.109355032685561,2.0788814262715056
0.0015,173.691,5.0,175.75595,4.691038924879224,2.2992828365610616
0.0034,162.6449,4.9,165.01527,4.42,1.9299437859953712
0.0037,160.9842,4.8,163.56984,4.609999999999999,1.2809877802750356
0.0052,155.1319,4.7,156.41513,4.29,0.6575759457813967
0.0055,154.2701,4.7,155.86919,4.31328635186395,0.8611191666810692
0.0066,151.097,4.5,150.58925,4.2583143868370845,0.935752919363388
0.0071,145.1238,9.6,148.51799,9.36,1.3451338274887967
0.0097,121.2745,9.5,119.97029,9.422,2.4964660177148894
0.0103,116.9699,9.5,116.356155,9.332414514110662,0.5601620004745363
0.0119,106.7607,9.6,106.254456,9.230251755120339,1.3589297748030393
0.0124,103.5658,9.6,105.05667,10.123,2.3561322821565334
0.0127,101.88,9.7,102.52149,9.17,4.216360174130397
0.0156,87.7727,10.2,87.25472,10.039317996683497,0.40796298060985503
0.0174,81.1148,10.7,79.464005,10.664,1.4310811743404936
0.0186,77.2257,11.0,76.58688,11.404209729874449,0.5575593183247995
0.019,75.7865,11.1,75.69839,11.49,0.5712075140761095
0.0195,74.5646,11.2,74.82629,11.327,0.9628579319519406
0.0203,72.1216,11.5,71.79327,11.50321429351504,0.7105482576223249
0.0218,68.5635,12.1,68.5502,12.038439249830711,0.46826042722759476
0.0239,64.7112,13.1,64.5496,13.23711718415041,0.3245984497623887
0.0256,62.2736,14.2,62.08601,14.23764162754926,0.3055169750993996
0.0262,61.5743,14.6,61.514572,14.583719410751856,0.3721121784850274
0.0269,60.8537,15.0,60.78751,14.983864866240456,0.45581742351802146
0.0291,57.932,12.5,57.76133,12.602703301064563,0.42734666302821306
0.0309,56.1506,13.1,55.73027,12.52,0.6864445014557903
0.0311,55.8932,4.8,55.63144,9.528,0.7394912105408709
0.0343,51.8611,5.0,51.0048,4.941224691115822,4.219297560420364
0.0557,42.2989,12.5,43.699135,8.98,4.388517892582084
0.0629,39.5919,8.1,40.53803,9.93,4.364423693583851
0.0714,35.8881,8.2,36.65524,9.36,3.5837660931276196
0.0914,30.8016,6.0,31.387144,6.130000000000001,1.7825935875139278
0.1,29.2274,6.4,29.706434,9.17,3.0829279289153217
0.1041,28.8085,6.6,29.056892,8.98,3.874653484535452
0.1082,28.3133,15.6,28.31683,14.489999999999998,4.282019780784452
0.149,27.7785,16.3,28.262487,15.82,4.268276838015001
0.1857,28.782,16.3,29.382954,14.3,1.7746968920428992
0.2388,26.9518,16.5,26.941187,14.489999999999998,1.5546942914825592
0.3003,27.3752,14.2,27.396118,14.110000000000001,1.5243712486505716
0.3087,27.2404,14.8,27.404583,15.63,1.4781858020108196
0.3172,27.1587,15.3,27.316177,14.110000000000001,1.4564318663893783
0.4017,27.7783,12.8,27.947603,14.489999999999998,2.0627374612591995
0.4271,28.1264,13.4,28.613943,15.63,1.8560644281181544
0.4863,29.3543,14.6,29.919193,14.3,1.5775594425674948
0.5116,29.9875,15.0,30.465534,15.44,1.2347168197566316
0.537,30.6552,15.3,31.235231,15.63,2.0977682518717424
0.7167,31.5804,13.2,32.49321,14.489999999999998,2.8573184416417967
0.7274,31.6522,13.4,32.729702,14.489999999999998,2.7835509667992095
0.7593,31.9021,13.7,33.17018,14.3,2.758637308843199
0.7806,32.0927,14.0,33.278732,14.3,2.708867305789151
0.8018,32.3009,14.2,33.247505,14.110000000000001,2.6968346954295197
0.8231,32.5243,14.4,33.36171,14.3,2.59184544639618
2.1204,50.6763,16.7,52.251827,14.68,4.106574929362554
2.5564,55.0525,16.4,55.51019,14.3,2.0776424128987285
2.6096,55.5219,16.4,55.990417,14.3,1.9860410689408932
2.6202,55.6143,16.4,56.05112,15.44,1.9694779304629835
3.7367,59.3921,18.6,60.03478,14.489999999999998,1.805160795578966
4.949,61.4511,18.6,62.861702,14.3,1.7648655477622102
6.3633,62.9268,18.6,63.899906,14.3,1.768510101903092
7.1714,63.5243,18.6,64.56738,14.3,1.5872201501815688
8.7878,64.406,18.6,66.162895,14.489999999999998,1.9575568971334487
