E,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE
0.0002,184.5403,5.0,193.46954,5.75,3.4359613017553547
0.0003,183.7265,5.0,191.8989,5.18,2.421130212064795
0.0009,178.4027,5.0,181.268,4.944476200075886,1.912828924826644
0.0014,174.3287,5.0,178.31065,4.287484026148448,2.7580424596037467
0.0015,173.691,5.0,177.57968,4.954684562370597,5.181579971426488
0.0034,162.6449,4.9,165.44662,4.800000000000001,1.5225051039376132
0.0037,160.9842,4.8,163.6176,4.800000000000001,1.4726992149809566
0.0052,155.1319,4.7,156.14633,4.57,0.8864097151646657
0.0055,154.2701,4.7,155.08089,4.1722954432739945,0.8561319919680053
0.0066,151.097,4.5,150.83691,10.984223474267493,5.4153091130861
0.0071,145.1238,9.6,147.78792,9.93,2.2478878518772563
0.0097,121.2745,9.5,121.38228,9.422,1.5511576049540976
0.0103,116.9699,9.5,116.740395,9.455030439235827,0.9746907655239004
0.0119,106.7607,9.6,105.86611,9.708907232670546,3.488826817461319
0.0124,103.5658,9.6,104.55443,9.766,6.3373152026135
0.0127,101.88,9.7,102.19322,9.93,2.372671533408592
0.0156,87.7727,10.2,87.48104,10.305337269209769,0.7146500640527031
0.0174,81.1148,10.7,80.04436,10.286,1.521389484009894
0.0186,77.2257,11.0,76.85071,10.90020972987445,0.7716958926539936
0.019,75.7865,11.1,75.782875,10.923,0.8632490150571749
0.0195,74.5646,11.2,74.1455,11.474,1.6362346882409402
0.0203,72.1216,11.5,72.00008,11.50321429351504,0.5619914094318932
0.0218,68.5635,12.1,68.57005,12.125928928403999,0.5191210302978336
0.0239,64.7112,13.1,64.49962,13.161129736781314,0.4760853768552096
0.0256,62.2736,14.2,62.09653,14.302387227239718,0.406583305743498
0.0262,61.5743,14.6,61.32977,14.644576496024309,0.3981621254066099
0.0269,60.8537,15.0,60.730865,14.983864866240456,0.46028230136692116
0.0291,57.932,12.5,57.622944,12.415372257381097,0.5329871177788856
0.0309,56.1506,13.1,55.823257,11.432,1.0260156984937996
0.0311,55.8932,4.8,55.8238,11.432,1.0069071832670355
0.0343,51.8611,5.0,51.874966,5.05224510495007,7.349368359141555
0.0557,42.2989,12.5,44.618168,9.74,4.238766278505075
0.0629,39.5919,8.1,40.145626,9.17,5.172754563693823
0.0714,35.8881,8.2,37.307816,8.600000000000001,3.8260344119178153
0.0914,30.8016,6.0,31.878431,7.2700000000000005,2.553450525316186
0.1,29.2274,6.4,30.401117,9.93,3.411618420946643
0.1041,28.8085,6.6,29.36631,8.790000000000001,5.290343793859598
0.1082,28.3133,15.6,28.16197,16.39,4.652361790927922
0.149,27.7785,16.3,28.528805,14.87,5.572319478937085
0.1857,28.782,16.3,29.413649,15.06,2.4767281528878695
0.2388,26.9518,16.5,27.366947,15.06,1.9267530121701915
0.3003,27.3752,14.2,28.102272,13.73,2.093173701808602
0.3087,27.2404,14.8,28.834934,13.35,4.30537983448334
0.3172,27.1587,15.3,29.480286,13.35,7.864697932224095
0.4017,27.7783,12.8,30.012117,9.93,7.483287876542456
0.4271,28.1264,13.4,30.216576,11.260000000000002,5.973650944806579
0.4863,29.3543,14.6,30.86298,16.200000000000003,2.9724100663103563
0.5116,29.9875,15.0,33.63363,10.31,10.086950448934376
0.537,30.6552,15.3,46.004128,5.75,82.60234532806783
0.7167,31.5804,13.2,33.300476,13.540000000000001,1.9283498796934644
0.7274,31.6522,13.4,33.43054,13.540000000000001,2.0247199514625156
0.7593,31.9021,13.7,33.719418,12.209999999999999,2.2898885934524356
0.7806,32.0927,14.0,33.823334,12.209999999999999,2.592513675899692
0.8018,32.3009,14.2,33.977863,12.209999999999999,2.8926572121309944
0.8231,32.5243,14.4,34.211895,12.209999999999999,3.1463723625378774
2.1204,50.6763,16.7,51.545277,14.87,3.2816589845202784
2.5564,55.0525,16.4,55.847713,14.3,2.1380641798433007
2.6096,55.5219,16.4,56.3493,14.489999999999998,2.0474836729229757
2.6202,55.6143,16.4,56.448074,14.489999999999998,2.0340976601088014
3.7367,59.3921,18.6,60.523876,16.200000000000003,1.4498778690242624
4.949,61.4511,18.6,62.05688,15.25,1.4825076486411344
6.3633,62.9268,18.6,63.63747,15.06,1.9064003145230675
7.1714,63.5243,18.6,64.31212,15.06,2.2919549962536756
8.7878,64.406,18.6,65.32804,15.06,2.690957586214166
