E,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE
0.0002,184.5403,5.0,176.03584,5.75,2.349508489689127
0.0003,183.7265,5.0,176.47841,5.75,1.7478869974161044
0.0009,178.4027,5.0,171.80643,5.287474130517268,1.5319449899552207
0.0014,174.3287,5.0,169.31378,4.835398030506523,1.0001289628250296
0.0015,173.691,5.0,170.06587,4.691038924879224,1.0949996171022385
0.0034,162.6449,4.9,158.25577,5.18,2.256443763185319
0.0037,160.9842,4.8,157.8397,5.18,1.502606568947688
0.0052,155.1319,4.7,154.31592,4.220000000000001,1.686898567898082
0.0055,154.2701,4.7,153.18199,4.524772714748883,0.6669569870438861
0.0066,151.097,4.5,148.39565,9.62568180600643,1.1196004689433365
0.0071,145.1238,9.6,141.86725,10.5,2.188039443759835
0.0097,121.2745,9.5,120.83427,9.422,1.2566994321614857
0.0103,116.9699,9.5,116.30083,9.57764636436099,1.0484181964940653
0.0119,106.7607,9.6,105.42693,9.589243363282993,1.6738684285419188
0.0124,103.5658,9.6,104.62376,9.29,2.6147673339057147
0.0127,101.88,9.7,96.986206,10.5,4.002098557457978
0.0156,87.7727,10.2,87.194214,10.57135654173604,0.7027207682441251
0.0174,81.1148,10.7,79.7436,10.664,1.8083947851554711
0.0186,77.2257,11.0,76.71135,11.21520972987445,1.0206980798768912
0.019,75.7865,11.1,75.96118,10.986,1.0976963828782753
0.0195,74.5646,11.2,74.74773,11.18,1.9435678543853474
0.0203,72.1216,11.5,72.78859,11.94270320936771,1.1206294371136274
0.0218,68.5635,12.1,66.92312,12.125928928403999,0.6485922882318859
0.0239,64.7112,13.1,64.7241,13.389092078888604,0.4496766934444054
0.0256,62.2736,14.2,61.977066,14.172896027858803,0.5172520860429173
0.0262,61.5743,14.6,61.310314,14.644576496024309,0.5476858514068567
0.0269,60.8537,15.0,60.687088,15.04219201895859,0.6262473608421713
0.0291,57.932,12.5,57.480118,12.415372257381097,0.6695884243360156
0.0309,56.1506,13.1,54.788673,4.996,1.439398274929716
0.0311,55.8932,4.8,54.789978,4.996,1.6102508272799583
0.0343,51.8611,5.0,51.498466,5.218775725701444,3.828550034307295
0.0557,42.2989,12.5,43.010162,14.3,2.727538794617747
0.0629,39.5919,8.1,39.065327,9.36,5.473391752201779
0.0714,35.8881,8.2,36.078873,9.36,3.8032108856389915
0.0914,30.8016,6.0,30.464455,7.84,2.0861770205487775
0.1,29.2274,6.4,29.012007,7.84,2.37820153767924
0.1041,28.8085,6.6,28.78633,8.41,4.871599292307172
0.1082,28.3133,15.6,28.395926,8.600000000000001,4.445012152050124
0.149,27.7785,16.3,27.53864,16.96,4.140963263260996
0.1857,28.782,16.3,27.731728,17.72,1.3976059519724195
0.2388,26.9518,16.5,26.337883,16.96,1.2973574121164182
0.3003,27.3752,14.2,26.724897,14.110000000000001,0.9871117087328235
0.3087,27.2404,14.8,26.91117,15.63,0.8451839785883795
0.3172,27.1587,15.3,26.521816,15.63,0.9359919671416191
0.4017,27.7783,12.8,27.278498,13.920000000000002,2.098834935569935
0.4271,28.1264,13.4,27.67761,19.05,2.7317366473402993
0.4863,29.3543,14.6,28.117268,15.63,2.5802417568518146
0.5116,29.9875,15.0,28.64137,15.63,2.1826304334849778
0.537,30.6552,15.3,29.31727,15.63,1.8501268036639322
0.7167,31.5804,13.2,30.026691,15.25,3.14168840827903
0.7274,31.6522,13.4,30.060005,15.25,3.124712712769623
0.7593,31.9021,13.7,30.112646,15.06,2.9655403731348042
0.7806,32.0927,14.0,30.089024,14.489999999999998,2.7634358863878123
0.8018,32.3009,14.2,29.961384,14.489999999999998,2.6044866142720564
0.8231,32.5243,14.4,29.88835,14.489999999999998,2.4847610537439215
2.1204,50.6763,16.7,48.124428,16.770000000000003,2.5911003489579842
2.5564,55.0525,16.4,52.508694,16.580000000000002,1.4156690010899946
2.6096,55.5219,16.4,52.96552,16.580000000000002,1.361974884848522
2.6202,55.6143,16.4,53.0556,16.580000000000002,1.3539336166801441
3.7367,59.3921,18.6,57.80502,17.72,1.1428754702074229
4.949,61.4511,18.6,59.699028,17.72,1.1185760243203884
6.3633,62.9268,18.6,61.232548,17.72,1.0783568368752774
7.1714,63.5243,18.6,61.92243,17.72,1.0538091164906223
8.7878,64.406,18.6,63.03991,17.72,1.0708957487228825
