E,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE
0.0002,184.5403,5.0,200.22862,6.32,3.2736187236176724
0.0003,183.7265,5.0,195.6612,3.85,2.537449378460478
0.0009,178.4027,5.0,178.03697,4.601478269634505,1.4238944258143327
0.0014,174.3287,5.0,172.69966,4.561441028327486,1.347435555035747
0.0015,173.691,5.0,173.44296,4.691038924879224,1.4411221368241673
0.0034,162.6449,4.9,162.51825,4.609999999999999,2.1929041251408665
0.0037,160.9842,4.8,160.33403,4.800000000000001,1.8821642359604238
0.0052,155.1319,4.7,154.17685,4.43,1.196426002987795
0.0055,154.2701,4.7,154.98663,4.31328635186395,0.7147633329321212
0.0066,151.097,4.5,149.2952,4.324810598813352,0.7238157683470668
0.0071,145.1238,9.6,144.9903,9.36,1.2495527040657874
0.0097,121.2745,9.5,121.95056,9.668000000000001,1.2607763473050373
0.0103,116.9699,9.5,117.20964,9.700262289486156,0.7721986844039684
0.0119,106.7607,9.6,106.2062,9.708907232670546,1.5279044817270468
0.0124,103.5658,9.6,104.871994,9.766,2.1850045244258904
0.0127,101.88,9.7,100.777725,9.36,1.3032137896349847
0.0156,87.7727,10.2,87.67646,10.172327632946633,0.43715117812066556
0.0174,81.1148,10.7,80.30565,10.349,1.5446829295294089
0.0186,77.2257,11.0,77.40818,10.837209729874449,0.6131146538530423
0.019,75.7865,11.1,76.55921,10.986,0.7180595198562226
0.0195,74.5646,11.2,75.29129,11.18,1.495841542209461
0.0203,72.1216,11.5,72.75553,11.210221682946594,0.8136460005127983
0.0218,68.5635,12.1,68.36802,12.125928928403999,0.3486793569145779
0.0239,64.7112,13.1,64.68856,13.00915484204312,0.32787805416231164
0.0256,62.2736,14.2,62.227646,14.172896027858803,0.31225522632540137
0.0262,61.5743,14.6,61.584675,14.522862325479405,0.3929923893309536
0.0269,60.8537,15.0,60.787365,14.92553771352232,0.5143579286499674
0.0291,57.932,12.5,57.75682,12.040710170014169,0.599504741697395
0.0309,56.1506,13.1,55.81705,4.996,1.3022198661551787
0.0311,55.8932,4.8,55.81605,4.996,1.0942632339973832
0.0343,51.8611,5.0,51.597275,5.218775725701444,4.689352005793747
0.0557,42.2989,12.5,42.68992,13.920000000000002,2.1249067924916916
0.0629,39.5919,8.1,39.74941,7.65,4.382477643631394
0.0714,35.8881,8.2,36.39032,8.790000000000001,2.021088184251169
0.0914,30.8016,6.0,30.84116,5.94,1.4406130233167769
0.1,29.2274,6.4,29.575558,6.130000000000001,3.142203159029565
0.1041,28.8085,6.6,28.735731,8.600000000000001,7.812801098627345
0.1082,28.3133,15.6,28.213104,11.450000000000001,8.073298073646372
0.149,27.7785,16.3,28.061022,16.39,5.000724045553758
0.1857,28.782,16.3,28.684341,16.200000000000003,0.8304572195071096
0.2388,26.9518,16.5,26.75531,16.200000000000003,2.2432567111976613
0.3003,27.3752,14.2,27.27426,13.73,1.0954901962896848
0.3087,27.2404,14.8,27.069565,13.73,1.267932836173272
0.3172,27.1587,15.3,26.994722,15.25,1.4449057590135512
0.4017,27.7783,12.8,28.202917,12.02,1.5347650504799977
0.4271,28.1264,13.4,28.339354,13.540000000000001,1.8997674869251764
0.4863,29.3543,14.6,28.828722,13.540000000000001,2.0841678754924327
0.5116,29.9875,15.0,29.46449,13.540000000000001,1.6448369560579557
0.537,30.6552,15.3,30.161345,14.87,1.1965003775302339
0.7167,31.5804,13.2,31.4129,12.59,2.2306289280175364
0.7274,31.6522,13.4,31.435928,12.59,2.2508487951842486
0.7593,31.9021,13.7,31.612083,14.3,2.110254331841414
0.7806,32.0927,14.0,31.760235,14.3,2.0300138843872166
0.8018,32.3009,14.2,31.952938,14.3,1.9905327308492842
0.8231,32.5243,14.4,32.16898,13.73,1.9856590571662114
2.1204,50.6763,16.7,49.57413,18.29,3.1904770089617998
2.5564,55.0525,16.4,53.820637,17.34,1.7253640966514474
2.6096,55.5219,16.4,54.287025,17.34,1.5379749615308609
2.6202,55.6143,16.4,54.37879,17.34,1.4996667740160337
3.7367,59.3921,18.6,58.05606,20.0,1.422539533159508
4.949,61.4511,18.6,60.21176,20.0,1.3878193621980304
6.3633,62.9268,18.6,61.69325,19.05,1.4813714321443148
7.1714,63.5243,18.6,62.301846,19.05,1.5484473592159769
8.7878,64.406,18.6,63.20205,19.05,1.6655555737432497
