E,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE
0.0002,184.5403,5.0,192.37076,5.75,2.5997988529947778
0.0003,183.7265,5.0,187.97617,4.800000000000001,1.9395480531096638
0.0009,178.4027,5.0,179.46819,4.944476200075886,1.3142626033105462
0.0014,174.3287,5.0,174.9821,4.835398030506523,1.2895557116527763
0.0015,173.691,5.0,174.61142,5.3501530186076565,1.2724438965972185
0.0034,162.6449,4.9,165.90865,5.18,1.835801886546737
0.0037,160.9842,4.8,163.46352,5.18,1.3812074686697011
0.0052,155.1319,4.7,153.35962,4.57,1.2853831359679015
0.0055,154.2701,4.7,154.12901,4.454277260453905,0.6136455993156734
0.0066,151.097,4.5,149.41489,4.324810598813352,0.7395117694194092
0.0071,145.1238,9.6,146.58977,9.17,1.2269088897951044
0.0097,121.2745,9.5,121.143654,9.422,1.181578682480666
0.0103,116.9699,9.5,116.48721,9.455030439235827,0.8830727645444288
0.0119,106.7607,9.6,106.786644,9.708907232670546,1.1012299252046285
0.0124,103.5658,9.6,105.712685,9.766,2.185136019552467
0.0127,101.88,9.7,103.6776,10.12,1.1950179361006046
0.0156,87.7727,10.2,87.549904,10.039317996683497,0.45353537242712644
0.0174,81.1148,10.7,80.03052,10.601,1.355602615959706
0.0186,77.2257,11.0,76.87772,10.90020972987445,0.64610460888962
0.019,75.7865,11.1,76.00294,11.175,0.795439945535268
0.0195,74.5646,11.2,75.00077,11.327,1.3370253752395214
0.0203,72.1216,11.5,72.9773,11.50321429351504,0.7977289234556666
0.0218,68.5635,12.1,68.55028,12.038439249830711,0.43360438566158654
0.0239,64.7112,13.1,64.62883,13.085142289412218,0.3734167548358635
0.0256,62.2736,14.2,62.02945,14.108150428168345,0.4526879525036043
0.0262,61.5743,14.6,61.429756,14.462005240206954,0.4556394452778688
0.0269,60.8537,15.0,60.86331,14.983864866240456,0.45899856236300657
0.0291,57.932,12.5,57.79484,12.415372257381097,0.5568799863815913
0.0309,56.1506,13.1,56.062336,11.432,1.1299577912109666
0.0311,55.8932,4.8,56.062267,11.432,1.10378286195662
0.0343,51.8611,5.0,52.66256,4.830204277281574,4.548453401021855
0.0557,42.2989,12.5,43.961388,12.4,2.3037586022648124
0.0629,39.5919,8.1,40.574512,8.790000000000001,4.7797227963669675
0.0714,35.8881,8.2,36.96236,8.790000000000001,2.733869933837178
0.0914,30.8016,6.0,31.191238,6.51,1.665342279739571
0.1,29.2274,6.4,29.711206,5.18,4.157995206057906
0.1041,28.8085,6.6,29.356768,8.790000000000001,7.81450703624007
0.1082,28.3133,15.6,28.829866,10.69,7.142781544102952
0.149,27.7785,16.3,29.119305,15.44,3.5347758902493522
0.1857,28.782,16.3,29.775873,17.15,3.159203200939667
0.2388,26.9518,16.5,27.732117,18.29,1.1270155174971297
0.3003,27.3752,14.2,28.073956,15.06,2.56517330005937
0.3087,27.2404,14.8,27.995028,15.06,2.4604977569776554
0.3172,27.1587,15.3,27.965427,15.25,2.4218730484513395
0.4017,27.7783,12.8,28.679054,14.489999999999998,2.72704012344822
0.4271,28.1264,13.4,29.017874,14.68,2.2524092663236717
0.4863,29.3543,14.6,30.280455,14.87,2.3122533760930337
0.5116,29.9875,15.0,30.9389,14.87,2.590189562772579
0.537,30.6552,15.3,31.666252,14.87,3.332600338307131
0.7167,31.5804,13.2,33.098938,14.3,2.2777285427379046
0.7274,31.6522,13.4,33.253284,14.3,2.410218673463892
0.7593,31.9021,13.7,33.734814,13.73,2.765972229717772
0.7806,32.0927,14.0,34.024574,13.73,2.871037812637709
0.8018,32.3009,14.2,34.30808,13.73,2.8913208883498913
0.8231,32.5243,14.4,34.614388,13.73,2.8911792769719273
2.1204,50.6763,16.7,52.911877,16.770000000000003,2.177966640613602
2.5564,55.0525,16.4,57.038464,16.770000000000003,2.1794424780918233
2.6096,55.5219,16.4,57.469597,16.770000000000003,2.3341979829539192
2.6202,55.6143,16.4,57.554226,16.770000000000003,2.365698052643987
3.7367,59.3921,18.6,61.53854,15.44,2.842443869965835
4.949,61.4511,18.6,63.616737,15.44,2.7824881401033665
6.3633,62.9268,18.6,65.1105,16.39,2.6409400118656032
7.1714,63.5243,18.6,65.719734,16.39,2.56845683205243
8.7878,64.406,18.6,66.61464,16.39,2.4397742801111804
