E,Ta_c_true,k_c_true,Ta_c_pred,k_c_pred,curve_MAPE
0.0002,184.5403,5.0,183.91058,12.02,30.095686094062597
0.0003,183.7265,5.0,187.91039,6.130000000000001,25.887583974238517
0.0009,178.4027,5.0,181.8878,4.944476200075886,1.8675963603726637
0.0014,174.3287,5.0,176.82445,4.835398030506523,1.2742871210461721
0.0015,173.691,5.0,175.58514,5.0865073811162835,1.5817573360137105
0.0034,162.6449,4.9,163.25578,4.99,1.108441598337188
0.0037,160.9842,4.8,161.49792,5.18,1.007823523795745
0.0052,155.1319,4.7,156.49791,4.29,0.6932317721436299
0.0055,154.2701,4.7,155.77591,4.595268169043861,0.7361021323678795
0.0066,151.097,4.5,150.31297,9.749185594030163,0.8244271386294846
0.0071,145.1238,9.6,147.1973,9.74,1.4300370127165138
0.0097,121.2745,9.5,120.354004,9.914,1.8375630731744332
0.0103,116.9699,9.5,116.836006,9.822878214611322,0.4668823805253736
0.0119,106.7607,9.6,106.381485,9.469579493895441,0.9967625213913547
0.0124,103.5658,9.6,105.93425,10.241999999999999,2.8045160716442594
0.0127,101.88,9.7,102.72973,9.93,2.2718768553896234
0.0156,87.7727,10.2,87.869514,10.305337269209769,0.33185529963885396
0.0174,81.1148,10.7,79.57283,10.664,1.8698363676747858
0.0186,77.2257,11.0,77.09874,10.837209729874449,0.3519445480861185
0.019,75.7865,11.1,77.88727,10.986,1.0932861240798695
0.0195,74.5646,11.2,72.816795,10.739,0.6181145581905323
0.0203,72.1216,11.5,71.45048,11.210221682946594,0.5943410665242441
0.0218,68.5635,12.1,68.58628,11.950949571257421,0.2690309092470643
0.0239,64.7112,13.1,64.67442,13.161129736781314,0.2344451636344597
0.0256,62.2736,14.2,62.168774,14.108150428168345,0.2534550030585089
0.0262,61.5743,14.6,61.513668,14.644576496024309,0.24947935557005033
0.0269,60.8537,15.0,60.770836,15.04219201895859,0.34372443032134237
0.0291,57.932,12.5,57.775764,12.415372257381097,0.3479483224378316
0.0309,56.1506,13.1,55.936142,12.928,0.498347077226907
0.0311,55.8932,4.8,55.81593,13.064,0.34365640188336016
0.0343,51.8611,5.0,51.444073,4.719183863447325,4.092249357651996
0.0557,42.2989,12.5,43.11224,9.17,3.056740042063844
0.0629,39.5919,8.1,40.036007,9.17,3.1888474656280126
0.0714,35.8881,8.2,36.91044,8.600000000000001,2.8117022931688562
0.0914,30.8016,6.0,31.78032,6.130000000000001,1.7089786659831234
0.1,29.2274,6.4,30.14762,6.32,2.7691257866407755
0.1041,28.8085,6.6,29.271868,9.17,3.183112263764164
0.1082,28.3133,15.6,28.896992,9.36,2.8353876774257825
0.149,27.7785,16.3,28.161488,15.06,3.184649919287487
0.1857,28.782,16.3,29.376335,16.39,1.4639616155898567
0.2388,26.9518,16.5,27.217237,16.39,1.2215648520791154
0.3003,27.3752,14.2,27.929878,15.06,1.8122551394690698
0.3087,27.2404,14.8,27.799356,16.580000000000002,1.7526669359352358
0.3172,27.1587,15.3,27.626976,16.96,1.6162467089712855
0.4017,27.7783,12.8,28.303726,14.87,2.0829941679906767
0.4271,28.1264,13.4,28.850325,15.25,2.0287904557053333
0.4863,29.3543,14.6,29.99738,15.06,1.374205594290483
0.5116,29.9875,15.0,30.704521,15.06,1.6638186686158438
0.537,30.6552,15.3,31.360455,14.87,2.0657600280233006
0.7167,31.5804,13.2,32.697834,14.87,2.633013739763659
0.7274,31.6522,13.4,32.808445,14.87,2.653440960628387
0.7593,31.9021,13.7,33.038704,14.68,2.196672791774348
0.7806,32.0927,14.0,33.272972,14.68,2.213955886951734
0.8018,32.3009,14.2,33.48726,14.87,2.3262283403254975
0.8231,32.5243,14.4,33.775715,14.87,2.3750525599844488
2.1204,50.6763,16.7,51.985607,16.01,3.424080963260064
2.5564,55.0525,16.4,56.0114,15.25,1.5315867102046852
2.6096,55.5219,16.4,56.399017,15.25,1.4797851199922005
2.6202,55.6143,16.4,56.48353,15.25,1.467555201838205
3.7367,59.3921,18.6,60.58794,15.06,1.519565487188985
4.949,61.4511,18.6,63.02362,15.06,2.1154127137225323
6.3633,62.9268,18.6,64.418236,15.82,1.8943033849226303
7.1714,63.5243,18.6,64.81459,15.25,1.304890021313763
8.7878,64.406,18.6,65.736565,16.01,1.717465248155076
